2025-11-05 19:56:18,877 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 19:56:18,879 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 19:56:18,879 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 19:56:30,629 | INFO | src.utils | Epoch 2 train loss: 7.697519, examples=97401, time=11.7s
2025-11-05 19:56:41,861 | INFO | src.utils | Epoch 2 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:56:53,691 | INFO | src.utils | Epoch 3 train loss: 7.697519, examples=97401, time=11.8s
2025-11-05 19:57:06,634 | INFO | src.utils | Epoch 3 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:57:21,682 | INFO | src.utils | Epoch 4 train loss: 7.697519, examples=97401, time=15.0s
2025-11-05 19:57:34,867 | INFO | src.utils | Epoch 4 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:57:47,273 | INFO | src.utils | Epoch 5 train loss: 7.697519, examples=97401, time=12.4s
2025-11-05 19:57:57,549 | INFO | src.utils | Epoch 5 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:57:57,550 | INFO | src.utils | Saving checkpoint at epoch 5
2025-11-05 19:57:57,556 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_5.pth
2025-11-05 19:57:57,560 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 19:57:57,562 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 19:57:57,562 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 19:58:09,612 | INFO | src.utils | Epoch 6 train loss: 7.697519, examples=97401, time=12.0s
2025-11-05 19:58:20,040 | INFO | src.utils | Epoch 6 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:58:31,683 | INFO | src.utils | Epoch 7 train loss: 7.697519, examples=97401, time=11.6s
2025-11-05 19:58:41,907 | INFO | src.utils | Epoch 7 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:58:53,440 | INFO | src.utils | Epoch 8 train loss: 7.697519, examples=97401, time=11.5s
2025-11-05 19:59:03,668 | INFO | src.utils | Epoch 8 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:59:15,306 | INFO | src.utils | Epoch 9 train loss: 7.697519, examples=97401, time=11.6s
